period,scenario_name,bromine_price_assumption,bromine_volume_assumption,salt_volume_assumption,salt_realization_assumption,derivative_utilization_assumption,fx_assumption,freight_assumption,predicted_revenue,predicted_ebitda,predicted_margin,predicted_pat
Q4FY26,base,247.0,3200.0,1150000.0,1807.2,42.2,83.0,0.0,3033.6,716.3,23.6,312.0
Q1FY27,base,253.1,3456.0,1161500.0,1816.2,47.2,83.0,0.0,3169.2,770.1,24.3,350.7
Q2FY27,base,259.5,3732.0,1173115.0,1825.3,52.9,83.0,0.0,3316.7,829.1,25.0,393.2
Q3FY27,base,266.0,4031.0,1184846.0,1834.4,59.2,83.0,0.0,3477.4,893.9,25.7,439.9
Q4FY27,base,272.6,4354.0,1196695.0,1843.6,66.3,83.0,0.0,3652.7,965.1,26.4,491.1
Q1FY28,base,279.4,4702.0,1208662.0,1852.8,74.3,83.0,0.0,3844.0,1043.4,27.1,547.5
Q2FY28,base,286.4,5078.0,1220748.0,1862.1,83.2,83.0,0.0,4053.2,1129.5,27.9,609.5
Q3FY28,base,293.6,5484.0,1232956.0,1871.4,85.0,83.0,0.0,4282.1,1224.3,28.6,677.8
Q4FY26,bull,251.8,3600.0,1200000.0,1825.2,47.3,83.35,0.0,3281.6,861.2,26.2,416.3
Q1FY27,bull,263.1,4032.0,1218000.0,1852.5,54.8,83.35,0.0,3531.9,966.2,27.4,491.9
Q2FY27,bull,275.0,4516.0,1236270.0,1880.3,63.6,83.35,0.0,3815.2,1087.0,28.5,578.9
Q3FY27,bull,287.3,5058.0,1254814.0,1908.5,73.8,83.35,0.0,4136.9,1226.4,29.6,679.3
Q4FY27,bull,300.3,5665.0,1273636.0,1937.2,85.0,83.35,0.0,4503.1,1387.4,30.8,795.2
Q1FY28,bull,313.8,6344.0,1292741.0,1966.2,85.0,83.35,0.0,4921.1,1573.6,32.0,929.3
Q2FY28,bull,327.9,7106.0,1312132.0,1995.7,85.0,83.35,0.0,5399.3,1789.3,33.1,1084.5
Q3FY28,bull,342.7,7958.0,1331814.0,2025.6,85.0,83.35,0.0,5947.6,2039.2,34.3,1264.5
Q4FY26,bear,236.1,2700.0,1080000.0,1780.2,37.0,82.65,80.0,2705.2,508.5,18.8,162.4
Q1FY27,bear,231.4,2808.0,1080000.0,1762.4,40.0,82.65,80.0,2709.8,512.4,18.9,165.2
Q2FY27,bear,226.8,2920.0,1080000.0,1744.8,43.2,82.65,80.0,2715.8,516.5,19.0,168.1
Q3FY27,bear,222.2,3037.0,1080000.0,1727.3,46.7,82.65,80.0,2723.2,520.9,19.1,171.3
Q4FY27,bear,217.8,3159.0,1080000.0,1710.1,50.4,82.65,80.0,2732.1,525.7,19.2,174.7
Q1FY28,bear,213.4,3285.0,1080000.0,1693.0,54.4,82.65,80.0,2742.6,530.7,19.3,178.3
Q2FY28,bear,209.2,3416.0,1080000.0,1676.0,58.8,82.65,80.0,2754.8,536.0,19.5,182.2
Q3FY28,bear,205.0,3553.0,1080000.0,1659.3,63.5,82.65,80.0,2768.8,541.7,19.6,186.3
